2019-09-19 16:40:59,923 ib_insync.client INFO Connecting to 127.0.0.1:3000 with clientId 0...
2019-09-19 16:40:59,925 ib_insync.client INFO Connected
2019-09-19 16:40:59,933 ib_insync.client INFO Logged on to server version 151
2019-09-19 16:41:00,462 ib_insync.client ERROR Peer closed connection
2019-09-19 16:41:00,463 ib_insync.client ERROR clientId 0 already in use?
2019-09-19 16:41:01,916 ib_insync.client ERROR API connection failed: CancelledError()
2019-09-19 16:41:01,918 ib_insync.client INFO Connecting to 127.0.0.1:3000 with clientId 1...
2019-09-19 16:41:01,919 ib_insync.client INFO Connected
2019-09-19 16:41:01,936 ib_insync.client INFO Logged on to server version 151
2019-09-19 16:41:01,937 ib_insync.client INFO API connection ready
2019-09-19 16:41:01,937 ib_insync.wrapper INFO Warning 2104, reqId -1: Market data farm connection is OK:hfarm
2019-09-19 16:41:01,937 ib_insync.wrapper INFO Warning 2106, reqId -1: HMDS data farm connection is OK:hkhmds
2019-09-19 16:41:01,938 ib_insync.wrapper INFO Warning 2106, reqId -1: HMDS data farm connection is OK:fundfarm
2019-09-19 16:41:01,938 ib_insync.wrapper INFO Warning 2106, reqId -1: HMDS data farm connection is OK:ushmds
2019-09-19 16:41:01,938 ib_insync.wrapper INFO Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefil
2019-09-19 16:41:01,944 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373120320, symbol='ACC', lastTradeDateOrContractMonth='20190926', strike=1460.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='ACC19SEP1460PE', tradingClass='ACC'), position=-400.0, marketPrice=15.3999996, marketValue=-6160.0, averageCost=18.0798535, unrealizedPNL=1071.94, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,944 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373120330, symbol='ACC', lastTradeDateOrContractMonth='20190926', strike=1480.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='ACC19SEP1480PE', tradingClass='ACC'), position=-400.0, marketPrice=25.04999925, marketValue=-10020.0, averageCost=21.92558, unrealizedPNL=-1249.77, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,944 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373160632, symbol='ADANIENT', lastTradeDateOrContractMonth='20190926', strike=130.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='ADANIENT19SEP130PE', tradingClass='ADANIENT'), position=-4000.0, marketPrice=0.6503938, marketValue=-2601.58, averageCost=0.5443895, unrealizedPNL=-424.02, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,944 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373152793, symbol='ADANIPORT', lastTradeDateOrContractMonth='20190926', strike=350.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='ADANIPORTS19SEP350PE', tradingClass='ADANIPORTS'), position=-2500.0, marketPrice=1.91819515, marketValue=-4795.49, averageCost=2.489225, unrealizedPNL=1427.57, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,945 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373121318, symbol='ADANIPOWE', lastTradeDateOrContractMonth='20190926', strike=64.0, right='C', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='ADANIPOWER19SEP64CE', tradingClass='ADANIPOWER'), position=-40000.0, marketPrice=0.8613567, marketValue=-34454.27, averageCost=1.097779, unrealizedPNL=9456.89, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,945 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=376116292, symbol='ADANIPOWE', lastTradeDateOrContractMonth='20191031', strike=54.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='ADANIPOWER19OCT54PE', tradingClass='ADANIPOWER'), position=-20000.0, marketPrice=0.908455, marketValue=-18169.1, averageCost=0.798112, unrealizedPNL=-2206.86, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,945 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=376116302, symbol='ADANIPOWE', lastTradeDateOrContractMonth='20191031', strike=55.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='ADANIPOWER19OCT55PE', tradingClass='ADANIPOWER'), position=-20000.0, marketPrice=1.25484385, marketValue=-25096.88, averageCost=0.9479455, unrealizedPNL=-6137.97, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,946 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373149930, symbol='AMARAJABA', lastTradeDateOrContractMonth='20190926', strike=580.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='AMARAJABAT19SEP580PE', tradingClass='AMARAJABAT'), position=-700.0, marketPrice=1.3402252, marketValue=-938.16, averageCost=0.22115115, unrealizedPNL=-783.35, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,946 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373149937, symbol='AMARAJABA', lastTradeDateOrContractMonth='20190926', strike=590.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='AMARAJABAT19SEP590PE', tradingClass='AMARAJABAT'), position=-700.0, marketPrice=2.19511745, marketValue=-1536.58, averageCost=2.36876455, unrealizedPNL=121.55, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,946 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373149997, symbol='AMARAJABA', lastTradeDateOrContractMonth='20190926', strike=670.0, right='C', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='AMARAJABAT19SEP670CE', tradingClass='AMARAJABAT'), position=-700.0, marketPrice=1.58053685, marketValue=-1106.38, averageCost=6.31438015, unrealizedPNL=3313.69, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,946 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373160866, symbol='AMBUJACEM', lastTradeDateOrContractMonth='20190926', strike=185.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='AMBUJACEM19SEP185PE', tradingClass='AMBUJACEM'), position=-2500.0, marketPrice=1.21133675, marketValue=-3028.34, averageCost=0.8410565, unrealizedPNL=-925.7, realizedPNL=0.0, account='U9329809')
