2019-08-28 09:55:34,751 ib_insync.client WARNING Started to throttle requests
2019-08-28 09:55:36,772 ib_insync.client WARNING Stopped to throttle requests
2019-08-28 09:57:52,220 ib_insync.wrapper INFO Warning 2108, reqId -1: Market data farm connection is inactive but should be available upon demand.jfarm
2019-08-28 09:57:52,220 ib_insync.wrapper INFO Warning 2108, reqId -1: Market data farm connection is inactive but should be available upon demand.jfarm
2019-08-28 09:57:52,226 ib_insync.wrapper INFO Warning 2108, reqId -1: Market data farm connection is inactive but should be available upon demand.cashfarm
2019-08-28 09:57:52,226 ib_insync.wrapper INFO Warning 2108, reqId -1: Market data farm connection is inactive but should be available upon demand.cashfarm
2019-08-28 09:58:33,739 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Stock(conId=37018770, symbol='T', right='0', primaryExchange='NYSE', currency='USD', localSymbol='T', tradingClass='T'), position=-100.0, marketPrice=34.7060013, marketValue=-3470.6, averageCost=33.499188, unrealizedPNL=-120.68, realizedPNL=0.0, account='U8898867')
2019-08-28 09:58:33,751 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=350436637, symbol='COF', lastTradeDateOrContractMonth='20190920', strike=70.0, right='P', multiplier='100', primaryExchange='AMEX', currency='USD', localSymbol='COF   190920P00070000', tradingClass='COF'), position=-1.0, marketPrice=0.19154865, marketValue=-19.15, averageCost=27.3245, unrealizedPNL=8.17, realizedPNL=0.0, account='U8898867')
2019-08-28 09:58:33,752 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=350513020, symbol='FB', lastTradeDateOrContractMonth='20190920', strike=140.0, right='P', multiplier='100', primaryExchange='AMEX', currency='USD', localSymbol='FB    190920P00140000', tradingClass='FB'), position=-1.0, marketPrice=0.1008596, marketValue=-10.09, averageCost=9.324, unrealizedPNL=-0.76, realizedPNL=0.0, account='U8898867')
2019-08-28 09:58:33,752 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=350555898, symbol='HON', lastTradeDateOrContractMonth='20190920', strike=135.0, right='P', multiplier='100', primaryExchange='AMEX', currency='USD', localSymbol='HON   190920P00135000', tradingClass='HON'), position=-1.0, marketPrice=0.286775, marketValue=-28.68, averageCost=28.2045, unrealizedPNL=-0.47, realizedPNL=0.0, account='U8898867')
2019-08-28 09:58:33,753 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=350555915, symbol='HON', lastTradeDateOrContractMonth='20190920', strike=140.0, right='P', multiplier='100', primaryExchange='AMEX', currency='USD', localSymbol='HON   190920P00140000', tradingClass='HON'), position=-1.0, marketPrice=0.449498, marketValue=-44.95, averageCost=32.2044, unrealizedPNL=-12.75, realizedPNL=0.0, account='U8898867')
2019-08-28 09:58:33,753 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=350616235, symbol='LMT', lastTradeDateOrContractMonth='20190920', strike=310.0, right='P', multiplier='100', primaryExchange='AMEX', currency='USD', localSymbol='LMT   190920P00310000', tradingClass='LMT'), position=-1.0, marketPrice=0.30412825, marketValue=-30.41, averageCost=34.7544, unrealizedPNL=4.34, realizedPNL=0.0, account='U8898867')
2019-08-28 09:58:33,753 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=350616240, symbol='LMT', lastTradeDateOrContractMonth='20190920', strike=315.0, right='P', multiplier='100', primaryExchange='AMEX', currency='USD', localSymbol='LMT   190920P00315000', tradingClass='LMT'), position=-1.0, marketPrice=0.3792109, marketValue=-37.92, averageCost=39.7543, unrealizedPNL=1.83, realizedPNL=0.0, account='U8898867')
2019-08-28 09:58:33,754 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=350627494, symbol='MCD', lastTradeDateOrContractMonth='20190920', strike=200.0, right='P', multiplier='100', primaryExchange='AMEX', currency='USD', localSymbol='MCD   190920P00200000', tradingClass='MCD'), position=-1.0, marketPrice=0.6752098, marketValue=-67.52, averageCost=44.2042, unrealizedPNL=-23.32, realizedPNL=0.0, account='U8898867')
2019-08-28 09:58:33,754 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=353810497, symbol='AAPL', lastTradeDateOrContractMonth='20191018', strike=165.0, right='P', multiplier='100', primaryExchange='AMEX', currency='USD', localSymbol='AAPL  191018P00165000', tradingClass='AAPL'), position=-1.0, marketPrice=1.1446805, marketValue=-114.47, averageCost=69.4236, unrealizedPNL=-45.04, realizedPNL=0.0, account='U8898867')
2019-08-28 09:58:33,755 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=353810507, symbol='AAPL', lastTradeDateOrContractMonth='20191018', strike=170.0, right='P', multiplier='100', primaryExchange='AMEX', currency='USD', localSymbol='AAPL  191018P00170000', tradingClass='AAPL'), position=-1.0, marketPrice=1.4803492, marketValue=-148.03, averageCost=89.4132, unrealizedPNL=-58.62, realizedPNL=0.0, account='U8898867')
2019-08-28 09:58:33,755 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=353818580, symbol='ADBE', lastTradeDateOrContractMonth='20191018', strike=350.0, right='C', multiplier='100', primaryExchange='AMEX', currency='USD', localSymbol='ADBE  191018C00350000', tradingClass='ADBE'), position=-1.0, marketPrice=0.241903, marketValue=-24.19, averageCost=28.8545, unrealizedPNL=4.66, realizedPNL=0.0, account='U8898867')
2019-08-28 09:58:33,755 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=353818590, symbol='ADBE', lastTradeDateOrContractMonth='20191018', strike=355.0, right='C', multiplier='100', primaryExchange='AMEX', currency='USD', localSymbol='ADBE  191018C00355000', tradingClass='ADBE'), position=-1.0, marketPrice=0.1544571, marketValue=-15.45, averageCost=18.8547, unrealizedPNL=3.41, realizedPNL=0.0, account='U8898867')
