right,symbol,strike,dte,undPrice,pop,rom,price,expPrice,margin,lot,option
P,BEL,67.5,28,83.65,0.995708915,1.736323827,2.85,2.95,88635.54,6000,"Option(conId=343975176, symbol='BEL', lastTradeDateOrContractMonth='20190228', strike=67.5, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='BEL19FEB67.5PE', tradingClass='BEL')"
P,DISHTV,19,28,23.65,0.991704745,0.865339492,1.3,1.4,108165.64,8000,"Option(conId=343967525, symbol='DISHTV', lastTradeDateOrContractMonth='20190228', strike=19.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='DISHTV19FEB19PE', tradingClass='DISHTV')"
P,DISHTV,17,28,23.65,0.999827696,1.131597798,1.7,1.8,108165.64,8000,"Option(conId=344238595, symbol='DISHTV', lastTradeDateOrContractMonth='20190228', strike=17.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='DISHTV19FEB17PE', tradingClass='DISHTV')"
P,DISHTV,17,56,23.65,0.992315233,1.031750933,3.1,3.2,108165.64,8000,"Option(conId=351519677, symbol='DISHTV', lastTradeDateOrContractMonth='20190328', strike=17.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='DISHTV19MAR17PE', tradingClass='DISHTV')"
P,DISHTV,16,28,23.65,0.999988018,0.89862178,1.35,1.45,108165.64,8000,"Option(conId=344674193, symbol='DISHTV', lastTradeDateOrContractMonth='20190228', strike=16.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='DISHTV19FEB16PE', tradingClass='DISHTV')"
P,DISHTV,16,56,23.65,0.997820366,0.881980636,2.65,2.75,108165.64,8000,"Option(conId=351519671, symbol='DISHTV', lastTradeDateOrContractMonth='20190328', strike=16.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='DISHTV19MAR16PE', tradingClass='DISHTV')"
P,IDBI,50,28,55.4,0.987629487,0.933648699,1.05,1.9,101215.8,10000,"Option(conId=343973259, symbol='IDBI', lastTradeDateOrContractMonth='20190228', strike=50.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='IDBI19FEB50PE', tradingClass='IDBI')"
P,IDFC,29,28,39.6,0.999874968,1.156277301,0.9,1,92469.168,13200,"Option(conId=343965348, symbol='IDFC', lastTradeDateOrContractMonth='20190228', strike=29.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='IDFC19FEB29PE', tradingClass='IDFC')"
P,IFCI,11,28,13.6,0.995309455,5.436593901,1.45,1.55,84014,35000,"Option(conId=343994856, symbol='IFCI', lastTradeDateOrContractMonth='20190228', strike=11.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='IFCI19FEB11PE', tradingClass='IFCI')"
P,LICHSGFIN,400,27,448.85,0.988315042,0.824686485,7,7.1,87144.2275,1100,"Option(conId=343956685, symbol='LICHSGFIN', lastTradeDateOrContractMonth='20190228', strike=400.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='LICHSGFIN19FEB400PE', tradingClass='LICHSGFIN')"
P,RPOWER,17,27,26.5,0.999999866,3.41137344,1.85,1.95,80984,16000,"Option(conId=343978594, symbol='RPOWER', lastTradeDateOrContractMonth='20190228', strike=17.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='RPOWER19FEB17PE', tradingClass='RPOWER')"
P,ULTRACEMC,3250,27,3519.35,0.981091452,0.833363232,57.6,57.7,129019.371,200,"Option(conId=343992506, symbol='ULTRACEMC', lastTradeDateOrContractMonth='20190228', strike=3250.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='ULTRACEMCO19FEB3250PE', tradingClass='ULTRACEMCO')"
P,ZEEL,300,55,380.2,0.995240006,1.097655381,42.7,42.8,231709.088,1300,"Option(conId=347832413, symbol='ZEEL', lastTradeDateOrContractMonth='20190328', strike=300.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='ZEEL19MAR300PE', tradingClass='ZEEL')"
P,ZEEL,290,55,380.2,0.998373996,0.987118656,38.4,38.5,231709.088,1300,"Option(conId=347832407, symbol='ZEEL', lastTradeDateOrContractMonth='20190328', strike=290.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='ZEEL19MAR290PE', tradingClass='ZEEL')"
P,ZEEL,280,55,380.2,0.999525459,0.881723175,34.3,34.4,231709.088,1300,"Option(conId=347832396, symbol='ZEEL', lastTradeDateOrContractMonth='20190328', strike=280.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='ZEEL19MAR280PE', tradingClass='ZEEL')"
C,ARVIND,140,28,88.15,1,1.504003445,2.6,2.7,31116.95,2000,"Option(conId=343958648, symbol='ARVIND', lastTradeDateOrContractMonth='20190228', strike=140.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='ARVIND19FEB140CE', tradingClass='ARVIND')"
C,CANBK,280,28,250.15,0.981030963,0.817243644,4.15,4.25,91404.81,2000,"Option(conId=343950715, symbol='CANBK', lastTradeDateOrContractMonth='20190228', strike=280.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='CANBK19FEB280CE', tradingClass='CANBK')"
C,ICICIBANK,395,28,364.45,0.982542639,0.831543496,5.95,6.05,177095.3663,2750,"Option(conId=343945017, symbol='ICICIBANK', lastTradeDateOrContractMonth='20190228', strike=395.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='ICICIBANK19FEB395CE', tradingClass='ICICIBANK')"
C,INDIACEM,125,28,84.25,0.999872065,0.994234056,1.8,1.9,73322.775,4500,"Option(conId=344234276, symbol='INDIACEM', lastTradeDateOrContractMonth='20190228', strike=125.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='INDIACEM19FEB125CE', tradingClass='INDIACEM')"
C,NBCC,66,27,58.7,0.987289567,1.000527957,1.2,1.3,89552.72,8000,"Option(conId=347840602, symbol='NBCC', lastTradeDateOrContractMonth='20190228', strike=66.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='NBCC19FEB66CE', tradingClass='NBCC')"
C,NBCC,67,27,58.7,0.994362747,0.833773298,1,1.1,89552.72,8000,"Option(conId=347840611, symbol='NBCC', lastTradeDateOrContractMonth='20190228', strike=67.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='NBCC19FEB67CE', tradingClass='NBCC')"
C,RPOWER,38,27,26.5,0.99996804,1.843985643,1,1.1,80984,16000,"Option(conId=343978757, symbol='RPOWER', lastTradeDateOrContractMonth='20190228', strike=38.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='RPOWER19FEB38CE', tradingClass='RPOWER')"
C,TV18BRDCS,47,27,32.6,0.999946805,1.825883728,1.25,1.35,83064.8,13000,"Option(conId=343972309, symbol='TV18BRDCS', lastTradeDateOrContractMonth='20190228', strike=47.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='TV18BRDCST19FEB47CE', tradingClass='TV18BRDCST')"
